Date,M_precip,M_Temp,WL
01-Jan-00,0,21.51,9.12
01-Mar-00,1.69,32.44,9.75
01-Jun-00,4.64,27.53,9
01-Sep-00,0,26.3,9.12
01-Jan-01,0,20.99,10.67
01-Mar-01,1.21,33.77,11.65
01-Jun-01,4.81,26.91,5.8
01-Sep-01,0,25.65,7.48
01-Jan-02,0,20.03,8.35
01-Mar-02,0.32,34.78,9.68
01-Jun-02,7.98,26.98,8.19
01-Sep-02,0.03,26.47,8.19
01-Jan-03,0.07,22.41,7.62
01-Mar-03,0.03,34.17,10.07
01-Jun-03,11.84,26.63,5.15
01-Sep-03,0,24.94,5.36
01-Jan-04,0.03,21.05,6.47
01-Mar-04,0.33,33.77,8.3
01-Jun-04,14.89,26.12,10.05
01-Sep-04,0.11,25.58,5.56
01-Jan-05,0.04,20.17,6.8
01-Mar-05,0.08,34.34,8.44
01-Jun-05,5.72,26.51,4.26
01-Sep-05,0,23.01,4.4
01-Jan-06,0,21.64,7.08
01-Mar-06,0.43,34.56,7.67
01-Jun-06,14.85,25.97,2.35
01-Sep-06,0.24,23.93,4.2
01-Jan-07,0.03,22.2,6.08
01-Mar-07,0.41,34.27,7.78
01-Jun-07,15.17,26.81,4.03
01-Sep-07,0.04,24.07,4.21
01-Jan-08,0,20.48,5.48
01-Mar-08,0.02,33.15,7.27
01-Jun-08,9.37,26.55,4.39
01-Sep-08,0.12,24.57,4.91
01-Jan-09,0.01,23.16,5.98
01-Mar-09,0.21,34.15,7.16
01-Jun-09,5.96,27.05,7.26
01-Sep-09,1.36,23.92,7.5
01-Jan-10,0.04,21.55,7.66
01-Mar-10,0.06,35.65,8.54
01-Jun-10,15.17,27.06,4.05
01-Sep-10,1.82,24.68,3.33
01-Jan-11,0,19.58,5.13
01-Mar-11,0.01,33.82,7.35
01-Jun-11,14.21,26.74,3.41
01-Sep-11,0,25.54,4.39
01-Jan-12,0,19.54,5.66
01-Mar-12,0.29,33.8,7.4
01-Jun-12,6.92,27.33,0
01-Sep-12,0,22.74,6.02
01-Jan-13,0,20.62,7.16
01-Mar-13,0.09,34.5,8.5
01-Jun-13,7.7,26.04,3.7
01-Sep-13,0.03,22.13,4.87
01-Jan-14,0.39,19.88,3.98
01-Mar-14,0.1,34.67,12.21
01-Jun-14,5.24,26.88,2.84
01-Sep-14,0.11,25.56,4.8
01-Jan-15,0.4,19.9,6.32
01-Mar-15,0.12,35.01,6.32
01-Jun-15,2.7,27.15,6.32
01-Sep-15,0.01,26.8,6.32
01-Jan-16,0,22.34,0
01-Mar-16,0.03,34.87,11.75
01-Jun-16,8.91,26.67,5.65
01-Sep-16,0,23.02,5.82
01-Jan-17,0,21.56,6.44
01-Mar-17,0.13,34.97,8.11
01-Jun-17,6.27,26.72,6.65
01-Sep-17,0,24.08,5.38
01-Jan-18,0,22.3,4.5
01-Mar-18,0,34.8,8.07
01-Jun-18,6.34,26.27,3.64
01-Sep-18,0,25.98,0
01-Jan-19,0,19.73,7.16
01-Mar-19,0,33.98,9.42
01-Jun-19,17.14,26.55,2.4
01-Sep-19,0.25,23.39,3.72
01-Jan-20,0,18.76,5.8
01-Mar-20,0.01,35.34,0
01-Jun-20,19.06,27.23,2.35
01-Sep-20,0,22.58,4.92
01-Jan-21,0,22.38,5.2
